group	device	workload	qps	L0	L1	L2	L3	L4	L5
FEAT	SATA HDD	D	223245	0.69	1.91	19.62	41.36	0.0	0
FEAT	SATA SSD	D	232434	0.46	1.78	19.52	41.83	0.0	0
FEAT	NVMe SSD	E	19071	0.0	1.82	19.7	37.83	0.0	0
FEAT	PM	E	19149	0.89	1.92	19.82	37.05	0.0	0
FEAT	SATA HDD	E	18611	0.59	1.97	19.51	37.46	0.0	0
FEAT	SATA SSD	E	18864	0.0	1.91	19.95	37.42	0.0	0
FEAT	NVMe SSD	F	107966	0.59	1.95	19.53	57.53	0.0	0
FEAT	PM	F	125525	0.89	1.95	19.73	57.62	0.0	0
FEAT	SATA HDD	F	9255	0.16	0.89	9.77	51.94	0.0	0
FEAT	SATA SSD	F	78982	0.3	1.76	19.55	56.5	0.0	0
