group	device	workload	op	p99 avg	p99.99 avg	qps avg	p99 std	p99.99 std	qps std
pebbles	PM	e	seek	5609.68	9841.28	2416.0			
pebbles	PM	f	read	235.28	549.27	30815.0			
pebbles	PM	f	update	243.58	560.52	30815.0			
pebbles	SATA HDD	a	read	569.61	237307.13	7736.0			
pebbles	SATA HDD	a	update	123.87	247.15	7736.0			
pebbles	SATA HDD	b	read	375.18	148817.51	6176.0			
pebbles	SATA HDD	b	update	92.82	286.94	6176.0			
pebbles	SATA HDD	c	read	10159.14	318382.47	2770.0			
pebbles	SATA HDD	d	insert	156.53	406.34	2724.0			
pebbles	SATA HDD	d	read	7496.41	307015.15	2724.0			
pebbles	SATA HDD	e	insert	240.49	3680.95	246.0			
pebbles	SATA HDD	e	seek	58369.83	552413.31	246.0			
pebbles	SATA HDD	f	read	452.44	227866.39	5027.0			
pebbles	SATA HDD	f	update	478.93	229913.11	5027.0			
pebbles	SATA SSD	a	read	318.67	30496.17	32129.0			
pebbles	SATA SSD	a	update	79.61	167.59	32129.0			
pebbles	SATA SSD	b	read	194.91	2821.46	47744.0			
pebbles	SATA SSD	b	update	62.26	109.58	47744.0			
pebbles	SATA SSD	c	read	192.37	5885.5	39386.0			
pebbles	SATA SSD	d	insert	36.6	106.62	67300.0			
pebbles	SATA SSD	d	read	146.87	845.35	67300.0			
pebbles	SATA SSD	e	insert	109.26	250.54	1768.0			
pebbles	SATA SSD	e	seek	5386.05	105072.48	1768.0			
pebbles	SATA SSD	f	read	294.11	22412.59	22366.0			
pebbles	SATA SSD	f	update	315.03	22409.2	22366.0			
tuned	NVMe SSD	a	read	18.14	44.58	168822.0			
tuned	NVMe SSD	a	update	9.89	32.4	168822.0			
tuned	NVMe SSD	b	read	12.4	32.21	193131.0			
tuned	NVMe SSD	b	update	9.99	33.47	193131.0			
tuned	NVMe SSD	c	read	12.05	32.53	153015.0			
tuned	NVMe SSD	d	insert	9.92	32.76	236662.0			
tuned	NVMe SSD	d	read	10.0	30.78	236662.0			
tuned	NVMe SSD	e	insert	18.8	11765.13	19779.0			
tuned	NVMe SSD	e	seek	107.99	250.66	19779.0			
tuned	NVMe SSD	f	read	14.79	33.86	122528.0			
tuned	NVMe SSD	f	update	21.44	50.83	122528.0			
tuned	PM	a	read	14.94	33.71	180709.0			
tuned	PM	a	update	9.81	32.41	180709.0			
tuned	PM	b	read	12.3	31.74	191730.0			
tuned	PM	b	update	10.1	31.65	191730.0			
tuned	PM	c	read	10.0	31.56	155877.0			
tuned	PM	d	insert	9.92	31.33	235808.0			
tuned	PM	d	read	9.99	30.49	235808.0			
tuned	PM	e	insert	19.6	39.49	19535.0			
tuned	PM	e	seek	108.16	166.56	19535.0			
tuned	PM	f	read	14.62	33.4	124805.0			
tuned	PM	f	update	21.18	44.27	124805.0			
tuned	SATA HDD	a	read	3448.15	156985.74	11266.0			
tuned	SATA HDD	a	update	56.1	1281.23	11266.0			
tuned	SATA HDD	b	read	33.98	20805.99	23871.0			
tuned	SATA HDD	b	update	70.07	109.99	23871.0			
