group	device	workload	qps
ADOC	NVMe SSD	Feat	95380
ADOC	PM	Feat	232453
ADOC	SATA SSD	Feat	56733
ADOC-T	NVMe SSD	Tea	72492
ADOC-T	PM	Tea	231023
ADOC-T	SATA SSD	Tea	28881
ADOC-B	NVMe SSD	Fea	58098
ADOC-B	PM	Fea	74121
ADOC-B	SATA SSD	Fea	39081
